model,fold,train_start_date,train_end_date,validation_start_date,validation_end_date,train_rows,validation_rows,train_races,validation_races,validation_positive_rate,accuracy,precision,recall,f1,roc_auc
Logistic Regression,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.6353438036162069,0.3502097902097902,0.7399527186761229,0.4754129485475603,0.7274992166645577
Gradient Boosting,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.7592054902995908,0.4112525117213664,0.1814420803782506,0.2517941357391839,0.7105318948080929
AdaBoost,1,2024-01-06,2024-04-27,2024-04-28,2024-08-24,16036,15154,1164,1128,0.22330737759007524,0.7726012933878844,0.47747093023255816,0.19414893617021275,0.27605042016806725,0.7200661667379704
Logistic Regression,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.6168574102065788,0.3432965757399884,0.7480240278216883,0.4706116360019891,0.7220026288348592
Gradient Boosting,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7789534297847837,0.5421245421245421,0.187164084729687,0.2782608695652174,0.7242547141208386
AdaBoost,2,2024-01-06,2024-08-24,2024-08-25,2024-12-14,31190,13893,2292,1054,0.22766861009141295,0.7723313899085871,0.5,0.19728106228264305,0.2829290410337792,0.7163648947714707
Logistic Regression,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.6703834647810716,0.35016778523489933,0.6815806662312214,0.4626468632232321,0.7300059181069056
Gradient Boosting,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.794737557791678,0.5332302936630603,0.11267145656433704,0.18603397142086817,0.734967324220391
AdaBoost,3,2024-01-06,2024-12-14,2024-12-15,2025-04-06,45083,14708,3346,1020,0.20818602121294533,0.7914740277400054,0.49730893433799783,0.15088177661659047,0.231520922074668,0.7216928343234048
Logistic Regression,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.681583259800832,0.37298017657837745,0.6348171250354409,0.46988457502623293,0.727207544600597
Gradient Boosting,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.783562334551872,0.5786802030456852,0.09696626027785654,0.16610004856726565,0.7335889029262251
AdaBoost,4,2024-01-06,2025-04-06,2025-04-12,2025-08-03,59791,15866,4366,1175,0.2222992562712719,0.7809781923610236,0.530373831775701,0.12872129288347037,0.20716404289299567,0.7221889154309205
Logistic Regression,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.6514613097396476,0.36346153846153845,0.7311411992263056,0.48554913294797686,0.7438675440801708
Gradient Boosting,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7859888316774241,0.6077032810271041,0.13733075435203096,0.22403365763870628,0.7493318014372626
AdaBoost,5,2024-01-06,2025-08-03,2025-08-09,2025-11-23,75657,13789,5541,1032,0.22496192617303648,0.7827253607948365,0.5655940594059405,0.147324306898775,0.23375959079283887,0.736417860851205
