race_id,race_date,horse_id,horse_name,jockey_id,age,sex,distance_m,surface,track_condition,gate_number,carried_weight,horse_weight,weight_change,days_since_last,starts_last_180d,avg_finish_last3,top3_rate_last5,distance_top3_rate,surface_top3_rate,jockey_top3_rate,finish_position
R20210104_0001,2021-01-04,Horse_0040,Horse_0040,Jockey_074,7,せん,1400,ダート,重,5,54.7,456.1,,,0.0,,,,,,11
R20210104_0001,2021-01-04,Horse_0629,Horse_0629,Jockey_004,5,牡,1400,ダート,重,2,56.2,503.1,,,0.0,,,,,,8
R20210104_0001,2021-01-04,Horse_0315,Horse_0315,Jockey_025,2,牡,1400,ダート,重,13,56.8,455.3,,,0.0,,,,,,13
R20210104_0001,2021-01-04,Horse_0525,Horse_0525,Jockey_064,4,牝,1400,ダート,重,8,54.0,470.2,,,0.0,,,,,,5
R20210104_0001,2021-01-04,Horse_0087,Horse_0087,Jockey_050,7,牝,1400,ダート,重,3,56.9,414.7,,,0.0,,,,,,3
R20210104_0001,2021-01-04,Horse_0892,Horse_0892,Jockey_052,7,牡,1400,ダート,重,14,55.8,462.1,,,0.0,,,,,,14
R20210104_0001,2021-01-04,Horse_0277,Horse_0277,Jockey_001,5,牡,1400,ダート,重,10,56.2,422.0,,,0.0,,,,,,10
R20210104_0001,2021-01-04,Horse_0042,Horse_0042,Jockey_048,4,牡,1400,ダート,重,12,56.0,443.5,,,0.0,,,,,,2
R20210104_0001,2021-01-04,Horse_0671,Horse_0671,Jockey_072,5,牡,1400,ダート,重,1,53.1,477.2,,,0.0,,,,,,1
R20210104_0001,2021-01-04,Horse_0546,Horse_0546,Jockey_008,2,牝,1400,ダート,重,4,55.6,423.6,,,0.0,,,,,,6
R20210104_0001,2021-01-04,Horse_0763,Horse_0763,Jockey_061,2,牝,1400,ダート,重,7,55.4,531.8,,,0.0,,,,,,12
R20210104_0001,2021-01-04,Horse_0335,Horse_0335,Jockey_031,6,牝,1400,ダート,重,6,54.8,420.0,,,0.0,,,,,,9
R20210104_0001,2021-01-04,Horse_0189,Horse_0189,Jockey_028,3,牝,1400,ダート,重,11,54.2,422.5,,,0.0,,,,,,4
R20210104_0001,2021-01-04,Horse_0250,Horse_0250,Jockey_063,3,牝,1400,ダート,重,9,54.2,436.4,,,0.0,,,,,,7
R20210107_0002,2021-01-07,Horse_0764,Horse_0764,Jockey_059,3,牝,2000,芝,良,8,53.4,439.9,,,0.0,,,,,,1
R20210107_0002,2021-01-07,Horse_0605,Horse_0605,Jockey_014,7,牡,2000,芝,良,6,55.8,487.0,,,0.0,,,,,,5
R20210107_0002,2021-01-07,Horse_0123,Horse_0123,Jockey_024,5,牝,2000,芝,良,9,52.9,537.4,,,0.0,,,,,,7
R20210107_0002,2021-01-07,Horse_0580,Horse_0580,Jockey_036,5,牝,2000,芝,良,2,57.0,545.1,,,0.0,,,,,,3
R20210107_0002,2021-01-07,Horse_0398,Horse_0398,Jockey_068,2,牝,2000,芝,良,1,54.6,448.9,,,0.0,,,,,,10
R20210107_0002,2021-01-07,Horse_0717,Horse_0717,Jockey_039,7,牡,2000,芝,良,4,57.6,537.7,,,0.0,,,,,,6
R20210107_0002,2021-01-07,Horse_0878,Horse_0878,Jockey_021,7,せん,2000,芝,良,7,53.0,485.1,,,0.0,,,,,,2
R20210107_0002,2021-01-07,Horse_0750,Horse_0750,Jockey_005,5,牝,2000,芝,良,3,52.0,476.9,,,0.0,,,,,,8
R20210107_0002,2021-01-07,Horse_0207,Horse_0207,Jockey_010,2,せん,2000,芝,良,10,54.6,411.9,,,0.0,,,,,,9
R20210107_0002,2021-01-07,Horse_0645,Horse_0645,Jockey_044,2,牝,2000,芝,良,5,55.4,521.2,,,0.0,,,,,,4
R20210111_0003,2021-01-11,Horse_0331,Horse_0331,Jockey_019,4,牝,1600,芝,良,8,54.9,464.8,,,0.0,,,,,,2
R20210111_0003,2021-01-11,Horse_0426,Horse_0426,Jockey_005,5,牡,1600,芝,良,11,55.8,453.7,,,0.0,,,,,0.0,4
R20210111_0003,2021-01-11,Horse_0741,Horse_0741,Jockey_062,4,牡,1600,芝,良,16,56.1,494.4,,,0.0,,,,,,9
R20210111_0003,2021-01-11,Horse_0747,Horse_0747,Jockey_037,5,牝,1600,芝,良,14,54.0,489.0,,,0.0,,,,,,14
