Model,Fold,Accuracy,Precision,Recall,F1,ROC-AUC,Train Start,Train End,Validation Start,Validation End,Train Rows,Validation Rows,Train Races,Validation Races,Validation Top3 Rate
Logistic Regression,1,0.6584922797456857,0.38789237668161436,0.6268115942028986,0.4792243767313019,0.7099209486166008,2021-01-04,2021-08-05,2021-08-08,2022-03-25,1141,1101,92,92,0.2506811989100817
Gradient Boosting,1,0.7475022706630337,0.4875,0.14130434782608695,0.21910112359550563,0.6728765920070267,2021-01-04,2021-08-05,2021-08-08,2022-03-25,1141,1101,92,92,0.2506811989100817
AdaBoost,1,0.7520435967302452,0.5319148936170213,0.09057971014492754,0.15479876160990713,0.691750109793588,2021-01-04,2021-08-05,2021-08-08,2022-03-25,1141,1101,92,92,0.2506811989100817
Logistic Regression,2,0.7144194756554307,0.4631043256997455,0.6594202898550725,0.5440956651718983,0.7618119601815253,2021-01-04,2022-03-25,2022-03-27,2022-11-13,2242,1068,184,92,0.25842696629213485
Gradient Boosting,2,0.7425093632958801,0.5064935064935064,0.14130434782608695,0.22096317280453256,0.7507296698872785,2021-01-04,2022-03-25,2022-03-27,2022-11-13,2242,1068,184,92,0.25842696629213485
AdaBoost,2,0.7471910112359551,0.5483870967741935,0.12318840579710146,0.20118343195266272,0.7528203227931488,2021-01-04,2022-03-25,2022-03-27,2022-11-13,2242,1068,184,92,0.25842696629213485
Logistic Regression,3,0.6819431714023831,0.418013856812933,0.6557971014492754,0.5105782792665726,0.7437538899262026,2021-01-04,2022-11-13,2022-11-16,2023-06-02,3310,1091,276,92,0.2529789184234647
Gradient Boosting,3,0.7552703941338221,0.5436893203883495,0.2028985507246377,0.2955145118733509,0.7311082955454788,2021-01-04,2022-11-13,2022-11-16,2023-06-02,3310,1091,276,92,0.2529789184234647
AdaBoost,3,0.7525206232813932,0.5288461538461539,0.19927536231884058,0.2894736842105263,0.729525651284787,2021-01-04,2022-11-13,2022-11-16,2023-06-02,3310,1091,276,92,0.2529789184234647
Logistic Regression,4,0.714027149321267,0.4496487119437939,0.7032967032967034,0.5485714285714286,0.7908301634263174,2021-01-04,2023-06-02,2023-06-05,2024-01-21,4401,1105,368,91,0.24705882352941178
Gradient Boosting,4,0.7873303167420814,0.6938775510204082,0.2490842490842491,0.3665768194070081,0.8045796351084812,2021-01-04,2023-06-02,2023-06-05,2024-01-21,4401,1105,368,91,0.24705882352941178
AdaBoost,4,0.7746606334841629,0.6578947368421053,0.18315018315018314,0.28653295128939826,0.7937403141730064,2021-01-04,2023-06-02,2023-06-05,2024-01-21,4401,1105,368,91,0.24705882352941178
Logistic Regression,5,0.7309501411100658,0.48470588235294115,0.7545787545787546,0.5902578796561605,0.8141141558863078,2021-01-04,2024-01-21,2024-01-24,2024-09-11,5506,1063,459,91,0.2568203198494826
Gradient Boosting,5,0.7714016933207902,0.6415094339622641,0.2490842490842491,0.35883905013192613,0.8150136783048175,2021-01-04,2024-01-21,2024-01-24,2024-09-11,5506,1063,459,91,0.2568203198494826
AdaBoost,5,0.7695202257761053,0.6707317073170732,0.20146520146520147,0.30985915492957744,0.80856864654333,2021-01-04,2024-01-21,2024-01-24,2024-09-11,5506,1063,459,91,0.2568203198494826
